ObjectId2,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Industry,Gas_Type,Scale,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
109,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Manufacturing,Methane,Units,62.63424982,66.20647373,65.91908116,66.02493802,64.16534423,59.25617356,56.47080286,56.22060163,55.19120052,54.43738371,53.67013901,53.45548783
110,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Manufacturing,Nitrous oxide,Units,101.2926742,107.4515697,102.5899968,101.3826391,102.7101111,101.8191061,102.9978467,102.5177131,105.4201869,88.89476923,86.22847669,89.98766152
111,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Mining,Carbon dioxide,Units,330.6798811,352.9543183,362.2734241,376.8849857,380.1376882,350.2823066,314.5357015,332.0025102,352.339708,349.0820708,303.1308287,321.5072992
112,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Mining,Greenhouse gas,Units,638.6556787,660.4063626,669.1980965,684.9406745,689.6189139,634.5965632,574.9752126,601.8219236,626.7008916,612.488598,525.4046173,533.3711011
113,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Mining,Methane,Units,305.1607581,304.5531413,303.9716848,305.0620911,306.4372834,281.4513911,257.6523612,266.9424055,271.4096047,260.4901731,219.5479067,209.1161764
114,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Mining,Nitrous oxide,Units,2.815039477,2.898903077,2.952987599,2.993597681,3.043942246,2.862865551,2.787149923,2.87700796,2.95157891,2.916354157,2.725881877,2.747625561
115,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Other Services Industries,Carbon dioxide,Units,931.2988544,918.3813025,893.718204,933.0624665,959.8734234,986.4606642,965.6731524,979.5966547,1014.666196,1024.781485,927.2270974,989.261716
116,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Other Services Industries,Fluorinated gases,Units,13.79475714,13.99585914,15.19442223,16.53147643,18.37136479,19.64493498,20.930669,22.00698342,23.58527877,24.70908059,25.53022129,26.65803125
117,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Other Services Industries,Greenhouse gas,Units,988.6918394,974.3939747,950.7338383,991.9386299,1020.187433,1050.264387,1031.068391,1044.714977,1079.392319,1092.40889,998.0781174,1059.831323
118,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Other Services Industries,Methane,Units,31.34248543,30.11095057,30.27156642,31.06588501,30.83940751,33.15032646,33.57249045,32.44006635,30.81232171,32.27823677,35.38447042,33.62616791
119,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Other Services Industries,Nitrous oxide,Units,12.25574244,11.90586249,11.54964568,11.278802,11.1032378,11.00846186,10.8920789,10.67127275,10.32852308,10.6400873,9.936328275,10.2854075
120,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Total Households,Carbon dioxide,Units,1463.537993,1461.167619,1423.440646,1477.108601,1514.554116,1481.773689,1470.178105,1472.84303,1520.367962,1512.627651,1301.763106,1390.980866
121,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Total Households,Fluorinated gases,Units,1.205926212,1.387621646,1.624519582,1.836377083,1.992090712,2.161614391,2.390216085,2.720297592,3.158582572,3.422737302,3.684805916,3.898240139
122,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Total Households,Greenhouse gas,Units,1502.949162,1499.876506,1459.951636,1513.833618,1549.898514,1515.590908,1502.435954,1504.365105,1552.013999,1544.842432,1330.254524,1420.457626
123,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Total Households,Methane,Units,10.09746012,9.998584167,9.102649874,10.12445912,10.072625,9.343627097,8.528626663,8.233453523,8.988500723,9.11302492,7.935890679,7.878080602
124,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Total Households,Nitrous oxide,Units,28.10778255,27.32268124,25.78382073,24.76418164,23.27968195,22.31197765,21.33900634,20.56832405,19.49895337,19.67901889,16.87072127,17.70043925
125,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Total Industry and Households,Carbon dioxide,Units,8211.922977,8150.675119,8038.595145,8209.641129,8269.397033,8091.805851,7911.421908,7877.954649,8003.118378,7863.804137,7006.9449,7470.798345
126,Americas,,AMETMP,Annual greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA. Accessed on 2023-02-07; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA. Accessed on 2022-10-31; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363. Accessed on 2022-11-07; IMF staff calculations.",ECNGA,"Greenhouse Gas Emissions (GHG); Air Emissions Accounts","Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, Air Emissions Accounts",Total Industry and Households,Fluorinated gases,Units,48.1114336,51.03082483,53.11996019,55.03907706,59.84431816,61.74720155,66.36999686,71.37980093,77.66409911,82.8329396,87.89561601,93.78097076
